"OTU","AUC","abs_AUC","WaldStatistic","DF","p_value","adj_p_value"
"G000007345",-5e-04,5e-04,21.5413,6,0.001466,0.00210247105148024
"G000970145",7e-04,7e-04,28.7648,6,6.74e-05,0.000113359261159569
"G000970125",2e-04,2e-04,52.7287,6,1.331e-09,3.7818705576423e-09
"G000970085",-3e-04,3e-04,15.7066,6,0.01542,0.0197268479250683
"G000970285",1e-04,1e-04,50.8308,6,3.203e-09,8.80578753145094e-09
"G000970185",-3e-04,3e-04,46.2604,6,2.627e-08,6.69099145299145e-08
"G000979755",0,0,28.4063,6,7.877e-05,0.000131203282520325
"G000970165",0,0,26.7476,6,0.0001615,0.00025824243902439
"G000979995",0.0142,0.0142,482.9604,6,0,0
"G000979895",0.0066,0.0066,238.3438,6,0,0
"G000979855",-1e-04,1e-04,56.3321,6,2.494e-10,7.51869895769467e-10
"G000979105",1e-04,1e-04,28.2818,6,8.315e-05,0.000138147845919919
"G000979845",0,0,21.336,6,0.001596,0.00228358271497163
"G000979745",0,0,22.9859,6,0.0008012,0.00118108241642932
"G000979095",3e-04,3e-04,32.0042,6,1.629e-05,3.05367632481891e-05
"G000978955",7e-04,7e-04,31.8992,6,1.706e-05,3.17021995464853e-05
"G000970245",4e-04,4e-04,44.1343,6,6.952e-08,1.69835573770492e-07
"G000979675",0.0084,0.0084,338.7023,6,0,0
"G000979815",2e-04,2e-04,31.2073,6,2.314e-05,4.20393053759468e-05
"G000979515",-0.0067,0.0067,114.538,6,0,0
"G000979125",-0.0037,0.0037,32.1846,6,1.504e-05,2.86856788207913e-05
"G000979555",-0.0022,0.0022,40.0253,6,4.503e-07,1.02934686192469e-06
"G000978935",-0.0046,0.0046,73.4186,6,8.116e-14,3.06854071510957e-13
"G000979575",-0.0034,0.0034,37.9384,6,1.155e-06,2.52968151447661e-06
"G000978945",-0.0052,0.0052,138.6282,6,0,0
"G001914405",0,0,27.0574,6,0.0001413,0.000227644855832241
"G001305655",-1e-04,1e-04,24.0155,6,0.0005188,0.000780700719204285
"G001767315",-0.002,0.002,71.9287,6,1.643e-13,6.09938165345413e-13
"G000474235",-9e-04,9e-04,23.3066,6,7e-04,0.00103859384429692
"G000069025",-5e-04,5e-04,68.313,6,9.065e-13,3.24636598689002e-12
"G001488575",-5e-04,5e-04,52.8738,6,1.244e-09,3.54594086956522e-09
"G000230955",-6e-04,6e-04,3.9902,6,0.678,0.702576606954689
"G000496195",-4e-04,4e-04,45.5943,6,3.565e-08,8.95941988244314e-08
"G000495475",-6e-04,6e-04,22.5801,6,0.00095,0.00139271019677996
"G900129775",-8e-04,8e-04,15.6575,6,0.01572,0.0200949538541531
"G000224475",-2e-04,2e-04,9.0414,6,0.1713,0.192587652909569
"G000739555",-4e-04,4e-04,5.8684,6,0.4381,0.466263571428571
"G001282785",-6e-04,6e-04,14.3263,6,0.0262,0.0326181541967338
"G001563795",1e-04,1e-04,31.9649,6,1.657e-05,3.08908777251185e-05
"G900109065",6e-04,6e-04,6.4567,6,0.374,0.401694626474443
"G000416025",-5e-04,5e-04,68.1373,6,9.848e-13,3.51142973168963e-12
"G000496215",4e-04,4e-04,6.1285,6,0.4089,0.436983547054988
"G000416045",-6e-04,6e-04,23.0853,6,0.0007684,0.00113528329326923
"G000447865",-6e-04,6e-04,14.6408,6,0.02324,0.0290766106870229
"G001462205",-0.0011,0.0011,9.956,6,0.1265,0.144735427574171
"G000496175",1e-04,1e-04,19.8016,6,0.003004,0.00417781586762834
"G001564205",-2e-04,2e-04,21.821,6,0.001305,0.00188172580645161
"G000746205",-4e-04,4e-04,10.4424,6,0.1072,0.123849248120301
"G000337415",-3e-04,3e-04,10.823,6,0.094,0.109292504138094
"G000337035",-1e-04,1e-04,5.318,6,0.5037,0.53119418766756
"G000336875",7e-04,7e-04,70.7162,6,2.915e-13,1.0684349608647e-12
"G000336995",-5e-04,5e-04,32.5474,6,1.281e-05,2.51293716337522e-05
"G000337375",7e-04,7e-04,3.7209,6,0.7144,0.738040718562874
"G000337355",-0.001,0.001,27.5704,6,0.0001132,0.000184826299186452
"G000022205",-0.0012,0.0012,47.0608,6,1.82e-08,4.70377923784494e-08
"G000739595",-6e-04,6e-04,34.8079,6,4.695e-06,9.66114877589454e-06
"G000427685",3e-04,3e-04,26.2662,6,0.0001986,0.000314093341910582
